Name                                                                                                  Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------------
blog\__init__.py                                                                                          0      0   100%
blog\admin.py                                                                                             1      0   100%
blog\apps.py                                                                                              3      3     0%
blog\blog_views.py                                                                                       42      0   100%
blog\migrations\__init__.py                                                                               0      0   100%
blog\models.py                                                                                            1      0   100%
blog\tests\__init__.py                                                                                    0      0   100%
blog\tests\tests.py                                                                                       1      0   100%
blog\tests\tests_views.py                                                                                 8      0   100%
blog\urls.py                                                                                              3      0   100%
config\__init__.py                                                                                        0      0   100%
config\local_settings.py                                                                                  5      0   100%
config\settings.py                                                                                       24      2    92%
config\wsgi.py                                                                                            6      6     0%
govapi.py                                                                                                27     27     0%
manage.py                                                                                                 9      2    78%
myvenv\Lib\site-packages\bs4\__init__.py                                                                270    121    55%
myvenv\Lib\site-packages\bs4\builder\__init__.py                                                        145     29    80%
myvenv\Lib\site-packages\bs4\builder\_html5lib.py                                                       252    195    23%
myvenv\Lib\site-packages\bs4\builder\_htmlparser.py                                                     167     86    49%
myvenv\Lib\site-packages\bs4\builder\_lxml.py                                                           146    104    29%
myvenv\Lib\site-packages\bs4\dammit.py                                                                  258    108    58%
myvenv\Lib\site-packages\bs4\element.py                                                                 984    631    36%
myvenv\Lib\site-packages\certifi\__init__.py                                                              2      0   100%
myvenv\Lib\site-packages\certifi\core.py                                                                 13      4    69%
myvenv\Lib\site-packages\chardet\__init__.py                                                             11      7    36%
myvenv\Lib\site-packages\chardet\big5freq.py                                                              3      0   100%
myvenv\Lib\site-packages\chardet\big5prober.py                                                           14      6    57%
myvenv\Lib\site-packages\chardet\chardistribution.py                                                    117     83    29%
myvenv\Lib\site-packages\chardet\charsetgroupprober.py                                                   70     61    13%
myvenv\Lib\site-packages\chardet\charsetprober.py                                                        50     36    28%
myvenv\Lib\site-packages\chardet\codingstatemachine.py                                                   27     18    33%
myvenv\Lib\site-packages\chardet\compat.py                                                               10      4    60%
myvenv\Lib\site-packages\chardet\cp949prober.py                                                          14      6    57%
myvenv\Lib\site-packages\chardet\enums.py                                                                34      1    97%
myvenv\Lib\site-packages\chardet\escprober.py                                                            56     45    20%
myvenv\Lib\site-packages\chardet\escsm.py                                                                17      0   100%
myvenv\Lib\site-packages\chardet\eucjpprober.py                                                          47     34    28%
myvenv\Lib\site-packages\chardet\euckrfreq.py                                                             3      0   100%
myvenv\Lib\site-packages\chardet\euckrprober.py                                                          14      6    57%
myvenv\Lib\site-packages\chardet\euctwfreq.py                                                             3      0   100%
myvenv\Lib\site-packages\chardet\euctwprober.py                                                          14      6    57%
myvenv\Lib\site-packages\chardet\gb2312freq.py                                                            3      0   100%
myvenv\Lib\site-packages\chardet\gb2312prober.py                                                         14      6    57%
myvenv\Lib\site-packages\chardet\hebrewprober.py                                                         74     48    35%
myvenv\Lib\site-packages\chardet\jisfreq.py                                                               3      0   100%
myvenv\Lib\site-packages\chardet\jpcntx.py                                                               80     61    24%
myvenv\Lib\site-packages\chardet\langbulgarianmodel.py                                                    5      0   100%
myvenv\Lib\site-packages\chardet\langcyrillicmodel.py                                                    13      0   100%
myvenv\Lib\site-packages\chardet\langgreekmodel.py                                                        5      0   100%
myvenv\Lib\site-packages\chardet\langhebrewmodel.py                                                       3      0   100%
myvenv\Lib\site-packages\chardet\langthaimodel.py                                                         3      0   100%
myvenv\Lib\site-packages\chardet\langturkishmodel.py                                                      3      0   100%
myvenv\Lib\site-packages\chardet\latin1prober.py                                                         50     29    42%
myvenv\Lib\site-packages\chardet\mbcharsetprober.py                                                      42     33    21%
myvenv\Lib\site-packages\chardet\mbcsgroupprober.py                                                      14      3    79%
myvenv\Lib\site-packages\chardet\mbcssm.py                                                               41      0   100%
